Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,171.254
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,169.236
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,166.986
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,164.572
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,8.64866
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,13.3899
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,23.4411
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,34.8298
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,47.0008
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,52.617
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,61.1855
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,72.0557
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,83.8358
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,97.6302
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,113.605
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,131.655
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,151.251
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,172.008
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,193.502
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,215.223
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,236.55
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,257.184
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,276.784
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,294.892
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,311.284
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,325.801
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,30.3187
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,45.009
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,66.454
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,75.9178
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,83.3973
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,93.5199
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,102.72
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,111.185
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,119.312
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,126.645
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,132.876
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,138.167
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,142.538
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,146.205
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,149.39
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,152.167
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,154.489
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,156.47
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,158.116
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,159.285
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,160.001
Pcal/yr,Reference,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,160.273
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,32.8106
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,46.9265
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,81.3673
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,113.358
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,140.089
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,157.669
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,183.36
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,224.459
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,271.052
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,324.15
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,383.621
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,449.014
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,518.338
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,590.624
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,664.741
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,738.933
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,811.384
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,880.616
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,945.351
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,1004.92
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,1059.02
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,1107.48
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,1975,76.6074
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,1990,135.7
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2005,211.468
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2010,253.525
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2015,294.186
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2020,330.668
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2025,365.965
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2030,396.458
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2035,425.908
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2040,453.692
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2045,479.729
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2050,504.174
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2055,525.489
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2060,544.3
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2065,561.706
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2070,577.609
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2075,591.815
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2080,604.242
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2085,614.673
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2090,623.161
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2095,629.983
Pcal/yr,Reference,Africa_Western,FoodDemand,FoodDemand,FoodDemand_Staples,2100,635.302
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,15.9534
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,18.8781
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,22.4955
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,25.9407
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,29.4018
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,30
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,32.1549
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,34.1825
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,36.0238
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,37.6565
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,39.045
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,40.2556
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,41.2766
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,42.1098
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,42.7873
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,43.2845
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,43.6036
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,43.7691
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,43.8388
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,43.83
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,43.7435
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,43.5845
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,1975,12.9603
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,1990,15.9662
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2005,16.5584
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2010,20.962
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2015,19.543
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2020,20.3102
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2025,20.7734
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2030,21.1835
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2035,21.5414
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2040,21.8528
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2045,22.0829
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2050,22.2339
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2055,22.3019
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2060,22.2896
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2065,22.2233
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2070,22.0912
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2075,21.8996
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2080,21.6541
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2085,21.3849
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2090,21.098
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2095,20.7945
Pcal/yr,Reference,Argentina,FoodDemand,FoodDemand,FoodDemand_Staples,2100,20.4778
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,10.4373
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,13.658
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,15.98
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,19.9599
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,22.609
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,24.5554
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,26.5048
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,28.3924
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,30.2002
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,31.9945
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,33.7895
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,35.532
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,37.1998
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,38.8223
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,40.3011
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,41.6211
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,42.759
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,43.7016
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,44.428
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,44.9187
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,45.1602
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,45.1734
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,1975,5.81307
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,1990,6.77565
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2005,8.80556
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2010,8.82462
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2015,10.129
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2020,10.8364
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2025,11.5275
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2030,12.1795
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2035,12.798400000000001
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2040,13.4002
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2045,13.9886
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2050,14.5588
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2055,15.0985
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2060,15.5965
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2065,16.016
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2070,16.362
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2075,16.6378
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2080,16.8381
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2085,16.9577
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2090,16.9867
Pcal/yr,Reference,Australia_NZ,FoodDemand,FoodDemand,FoodDemand_Staples,2095,16.9189
